Code,UiFile,Kor,Eng,Arg
190070,Option.ui,수고하셨습니다!,Thank you very much!,Thank you very much!
190071,Option.ui,기본,Default,Default
190072,Option.ui,설정,Change,Change
190073,Option.ui,화이팅!,Cheer Up!,Cheer Up!
190074,Option.ui,괜찮아요,It's ok,It's ok
190075,Option.ui,미안해요,My bad,My bad
190076,Option.ui,나이스 트라이!,Nice Try!,Nice Try!
190077,Option.ui,나이스 클리어!,Nice Clear!,Nice Clear!
190078,Option.ui,나이스 패스!,Nice Pass!,Nice Pass!
190079,Option.ui,나이스 슛!,Nice Shoot!,Nice Shoot!
190080,Option.ui,언어 선택,Language ,Language 
190081,Option.ui,조이스틱,Joystick,Joystick
190082,Option.ui,기본설정,Default,Default
190083,Option.ui,추가설정,Special Keys,Special Keys
190084,Option.ui,기본값,Default,Default
190085,Option.ui,설정값,User,User
190086,Option.ui,적용,Adjust,Adjust
200001,PasswordBox.ui,비밀번호,Password,Password
200002,PasswordBox.ui,비밀번호를 입력해주세요.,Input password,Input password
210001,PlayerInformation.ui,내 정보,My Information,My Information
210002,PlayerInformation.ui,통산,Total,Total
210003,PlayerInformation.ui,월별,Monthly,Monthly
210004,PlayerInformation.ui,출전,Matches,Matches
210005,PlayerInformation.ui,횟수,N of Times,N of Times
210006,PlayerInformation.ui,순위,Ranking,Ranking
210007,PlayerInformation.ui,수상내역,My trophies,My trophies
210008,PlayerInformation.ui,기본정보,Play Info.,Play Info.
210009,PlayerInformation.ui,소비아이템,Consumption,Consumption
210010,PlayerInformation.ui,거래내역,Trade List,Trade List
210011,PlayerInformation.ui,클  럽 :,Club:,Club:
210012,PlayerInformation.ui,레  벨 :,Level:,Level:
210013,PlayerInformation.ui,호  칭 :,Title:,Title:
210014,PlayerInformation.ui,포지션 :,Position:,Position:
210015,PlayerInformation.ui,상  태 :,Status:,Status:
210016,PlayerInformation.ui,이  름 :,Name:,Name:
210017,PlayerInformation.ui,자동성장,Auto Growth,Auto Growth
210018,PlayerInformation.ui,남은 능력치,Bonus Points,Bonus Points
210019,PlayerInformation.ui,사용,Status,Status
210020,PlayerInformation.ui,아이템명,Item name,Item name
210021,PlayerInformation.ui,효과,Effection,Effection
210022,PlayerInformation.ui,개수,Quantity,Quantity
210023,PlayerInformation.ui,날짜,Date,Date
210024,PlayerInformation.ui,품명,Name,Name
210025,PlayerInformation.ui,형태,Type,Type
210026,PlayerInformation.ui,금액,Amount ,Amount 
210027,PlayerInformation.ui,상패,Trophy ,Trophy 
210028,PlayerInformation.ui,이번분기내역,This quarter,This quarter
210029,PlayerInformation.ui,지난분기내역,Last quarter,Last quarter
210030,PlayerInformation.ui,클럽원 리스트,Club member list,Club member list
210031,PlayerInformation.ui,친구 리스트,Friend list,Friend list
210032,PlayerInformation.ui,차단 리스트,Black list,Black list
210033,PlayerInformation.ui,상태,Status,Status
210034,PlayerInformation.ui,클럽 정보,Club Info.,Club Info.
210035,PlayerInformation.ui,클럽원,Club member,Club member
210036,PlayerInformation.ui,클럽명,Club name,Club name
210037,PlayerInformation.ui,회원수,Qty of member,Qty of member
210038,PlayerInformation.ui,클럽장,Captain,Captain
210039,PlayerInformation.ui,부클럽장,Vice captain,Vice captain
210040,PlayerInformation.ui,클럽포인트,Club Point,Club Point
210041,PlayerInformation.ui,평균평점,Avg. Vote,Avg. Vote
210042,PlayerInformation.ui,랭킹,Rnaking,Rnaking
210043,PlayerInformation.ui,경기수,Match(es),Match(es)
210044,PlayerInformation.ui,출전시간,Playing Time,Playing Time
210045,PlayerInformation.ui,클럽,Club,Club
220001,SkillBag.ui,보유스킬,Skills,Skills
220002,SkillBag.ui,상대스킬,Others,Others
220003,SkillBag.ui,스킬레벨,Level,Level
220004,SkillBag.ui,Lv,Lv.,Lv.
220005,SkillBag.ui,쿨타임,Cool Time,Cool Time
220006,SkillBag.ui,적    용,Effect,Effect
220007,SkillBag.ui,1 레벨,Lv.1,Lv.1
220008,SkillBag.ui,2 레벨,Lv.2,Lv.2
220009,SkillBag.ui,3 레벨,Lv.3,Lv.3
220010,SkillBag.ui,[사용키],[Keys],[Keys]
220011,SkillBag.ui,[설 명],[Description],[Description]
220012,SkillBag.ui,남은 스킬치,Skill Points,Skill Points
230001,SkillDialog.ui,스킬 구매,Buy Skill,Buy Skill
230002,SkillDialog.ui,스킬을 구매 하시겠습니까?,Would you like to buy the skill?,Would you like to buy the skill?
230003,SkillDialog.ui,트레이닝을 구매 하시겠습니까?,Would you like to buy the trainning?,Would you like to buy the trainning?
230004,SkillDialog.ui,세레모니를 구매 하시겟습니까?,Would you like to buy the ceremony?,Would you like to buy the ceremony?
240001,SkillShop.ui,나의스킬,My Skills,My Skills
250001,SkillView.ui,스킬 보기,Preview,Preview
260001,TutorialMain.ui,보상품:,Reward:,Reward:
260002,TutorialMain.ui,상대 GK AI를 상대로\AI 두 명과 함께 공격하여제한 시간 내에 골을\기록하라.,Score the goal with 2\AI team members!\Make the goals as much as you could within given\time. ,Score the goal with 2\AI team members!\Make the goals as much as you could within given\time. 
260003,TutorialMain.ui,GK AI와 협동하여\제한 시간 내에\상대 AI들의 공격을\방어하라.,Keep the victiory with\AI team member!\Defense from opponent\AI players within given\time.,Keep the victiory with\AI team member!\Defense from opponent\AI players within given\time.
260004,TutorialMain.ui,제한 시간 내에 경기를\진행하여\반드시 승리하라.,Be sure to win!\Win the match with\limited condition.,Be sure to win!\Win the match with\limited condition.
260005,TutorialMain.ui,1골 이상 기록,Make more than 1 goal,Make more than 1 goal
260006,TutorialMain.ui,1점 이하 실점,Don't lose more than\2 goals,Don't lose more than\2 goals
260007,TutorialMain.ui,1골차 이상으로 승리,Win the match with more than 1 goal,Win the match with more than 1 goal
260008,TutorialMain.ui,+ 3000 포인트, + 3000 Points, + 3000 Points
260009,TutorialMain.ui,연습생 퀘스트,Trainee Quest,Trainee Quest
270001,TutorialPlay.ui,튜토리얼 진행사항,Status,Status
270002,TutorialPlay.ui,"키보드 설정은 서버 접속 후 게임옵션의 ""키설정""에서 변경 가능 합니다.",Possible to change the control buttons at the key setting of Game option.,Possible to change the control buttons at the key setting of Game option.
270003,TutorialPlay.ui,해당 키 입력 후 재 입력 또는 해당 키 1초 이상 누름.,Press the key again after press the key or keep pressing the key more than 1 sec,Press the key again after press the key or keep pressing the key more than 1 sec
270004,TutorialPlay.ui,왼쪽 방향 슈팅 : D / 오른쪽 방향 슈팅 : F,Left shot: D /Right shot: F,Left shot: D /Right shot: F
270005,TutorialPlay.ui,공을 소유하기 전 미리 키 입력 (연타),Press the key before the ball arrives,Press the key before the ball arrives
270006,TutorialPlay.ui,다이렉트 패스 방법 : 공 소유 전 미리 입력 (연타),Direct pass: Press S or A key before the ball arrives,Direct pass: Press S or A key before the ball arrives
270007,TutorialPlay.ui,공을 소유한 캐릭터와의 거리가 가까울수록 성공 확률 증가.,Tackling from the close range has an higher success rate,Tackling from the close range has an higher success rate
270008,TutorialPlay.ui,공을 소유 하기 전 미리 키 입력 (연타),Press the key before the ball arrives,Press the key before the ball arrives
280001,QuestMain.ui,유저들과의 경기를 치루기 이전에 AI들로 구성된 팀과 미리 경기를 수행해봄으로써 게임의 재미를 느끼게 하는 중간 튜토리얼 과정이다.,"It's a middle level tutorial, which have a test match with AI team before having the real match with users.","It's a middle level tutorial, which have a test match with AI team before having the real match with users."
290001,GameResult.ui,퀘스트 No.,Quest No.,Quest No.
300001,TutorialGuide.ui,캐릭터 능력치에 대한 내용입니다\알고 시작하면 좋겠죠?,That is for the basic abilities.\Need to know before starting!,That is for the basic abilities.\Need to know before starting!
300002,TutorialGuide.ui,- 슈   팅,- Shooting,- Shooting
300003,TutorialGuide.ui,- 숏 패스,- Short pass,- Short pass
300004,TutorialGuide.ui,- 롱 패스,- Long pass,- Long pass
300005,TutorialGuide.ui,- 태   클,- Tackle,- Tackle
300006,TutorialGuide.ui,(D 왼쪽 슛\F 오른쪽 슛),"(D Left shot, F Right shot)","(D Left shot, F Right shot)"
300007,TutorialGuide.ui,일반 이동 능력,Normal moving,Normal moving
300008,TutorialGuide.ui,공 소유 상태 이동 능력,Moving with ball,Moving with ball
300009,TutorialGuide.ui,빠른 이동 능력,Quick moving,Quick moving
300010,TutorialGuide.ui,빠른 이동의 지속 능력,Increase the time to use 'Agility' ,Increase the time to use 'Agility' 
300011,TutorialGuide.ui,공에 대한 선점 능력,Prior occupation for high ball,Prior occupation for high ball
300012,TutorialGuide.ui,상대와 부딪혀 이길 능력,Struggling against opponent player to have the ball,Struggling against opponent player to have the ball
300013,TutorialGuide.ui,크로스의 세기 + 해당 공을 슛팅 성공 가능성,Controlling the power of ball crossing,Controlling the power of ball crossing
300014,TutorialGuide.ui,숏 패스의 세기 + 해당 공을 슛팅 성공 가능성,Controlling the power of passing,Controlling the power of passing
300015,TutorialGuide.ui,롱 패스의 세기 + 해당 공을 슛팅 성공 가능성,Controlling the power of long passing,Controlling the power of long passing
300016,TutorialGuide.ui,공 소유 능력,Keeping the ball,Keeping the ball
300017,TutorialGuide.ui,빠르게 공을 빼앗는 능력,Taking the ball from a opponent player,Taking the ball from a opponent player
300018,TutorialGuide.ui,강력하게 공을 빼앗는 능력,Taking the ball from a opponent player by tackling,Taking the ball from a opponent player by tackling
300019,TutorialGuide.ui,헤딩 슛팅의 성공 가능성,Increase the accuracy of heading shot ,Increase the accuracy of heading shot 
300020,TutorialGuide.ui,단거리 슛팅 가능 지역 내 슛팅의 성공 가능성,Increase the accuracy of short shot ,Increase the accuracy of short shot 
300021,TutorialGuide.ui,중거리 슛팅 가능 지역 내 슛팅의 성공 가능성,Increase the accuracy of long shot ,Increase the accuracy of long shot 
300022,TutorialGuide.ui,『 체력 관련 특성치 자세히 보기 』,『 Learn more physical Status 』,『 Learn more physical Status 』
300023,TutorialGuide.ui,『 방어 관련 특성치 자세히 보기 』,『 Learn more defensive Status 』,『 Learn more defensive Status 』
300024,TutorialGuide.ui,『 개인기 관련 특성치 자세히 보기 』,『 Learn more technique Status 』,『 Learn more technique Status 』
300025,TutorialGuide.ui,『 공격 관련 특성치 자세히 보기 』,『 Learn more offensive Status 』,『 Learn more offensive Status 』
300026,TutorialGuide.ui,『 패스 관련 특성치 자세히 보기 』,『 Learn more passing Status 』,『 Learn more passing Status 』
300027,TutorialGuide.ui,- 스크린,- Screen,- Screen
300028,TutorialGuide.ui,- 스   틸,- Steal,- Steal
310001,InvenDialog.ui,엔트리 1,Entry 1,Entry 1
310002,InvenDialog.ui,엔트리 2,Entry 2,Entry 2
310003,InvenDialog.ui,엔트리 3,Entry 3,Entry 3
